"Baldwin-Whitehall School District","1","1008","50","50"
"133","NeedGoogleMapsAPIKey","40.3667681","-79.9999302","1"
"134","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"135","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"136","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"137","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"138","NeedGoogleMapsAPIKey","40.36517","-80.00173","1"
"139","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"140","NeedGoogleMapsAPIKey","40.366856","-79.9999671","1"
"141","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"142","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"143","NeedGoogleMapsAPIKey","40.365591","-80.001389","1"
"144","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"145","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"146","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"147","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"148","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"149","NeedGoogleMapsAPIKey","40.3651283","-80.0016037","1"
"150","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"151","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"152","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"153","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"154","NeedGoogleMapsAPIKey","40.366352","-79.9998255","1"
"155","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"156","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"157","NeedGoogleMapsAPIKey","40.3644632","-80.0012509","1"
"158","NeedGoogleMapsAPIKey","40.3658597","-79.999784","1"
"159","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"160","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"161","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"162","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"163","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"164","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"165","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"166","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"167","NeedGoogleMapsAPIKey","40.3645767","-80.0016567","1"
"168","NeedGoogleMapsAPIKey","40.3666875","-79.9999055","1"
"169","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"170","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"171","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"172","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"173","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"174","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"175","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"176","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"177","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"178","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"179","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"180","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"181","NeedGoogleMapsAPIKey","40.3657954","-79.9997819","1"
"182","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"183","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"184","NeedGoogleMapsAPIKey","40.3636716","-80.0016459","1"
"185","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"186","NeedGoogleMapsAPIKey","40.363787","-80.0006274","1"
"187","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"188","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"189","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"190","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"191","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"192","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"193","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"194","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"195","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"196","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"197","NeedGoogleMapsAPIKey","40.3661027","-80.0011444","1"
"198","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"199","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"200","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"201","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"202","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"203","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"204","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"205","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"206","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"207","NeedGoogleMapsAPIKey","40.3655945","-80.0013083","1"
"208","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"209","NeedGoogleMapsAPIKey","40.3660613","-80.0010417","1"
"210","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"211","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"212","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"213","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"214","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"215","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"216","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"217","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"218","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"219","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"220","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"221","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"222","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"223","NeedGoogleMapsAPIKey","40.3653594","-79.9998057","1"
"224","NeedGoogleMapsAPIKey","40.3659816","-79.9997694","1"
"225","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"226","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"227","NeedGoogleMapsAPIKey","40.3651222","-80.001452","1"
"228","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"229","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"230","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"231","NeedGoogleMapsAPIKey","40.3641475","-79.9983186","1"
"232","NeedGoogleMapsAPIKey","40.3653614","-79.9979437","1"
"233","NeedGoogleMapsAPIKey","40.3390058","-79.9802957","1"
"234","NeedGoogleMapsAPIKey","40.3392113","-79.9792536","1"
"235","NeedGoogleMapsAPIKey","40.338959","-79.9790241","1"
"236","NeedGoogleMapsAPIKey","40.3393004","-79.9790846","1"
"237","NeedGoogleMapsAPIKey","40.3396697","-79.9794219","1"
"238","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"239","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"240","NeedGoogleMapsAPIKey","40.3391256","-79.9789135","1"
"241","NeedGoogleMapsAPIKey","40.3383024","-79.9820184","1"
"242","NeedGoogleMapsAPIKey","40.3384872","-79.9786534","1"
"243","NeedGoogleMapsAPIKey","40.3396229","-79.9800165","1"
"244","NeedGoogleMapsAPIKey","40.3393004","-79.9790846","1"
"245","NeedGoogleMapsAPIKey","40.3393069","-79.9795697","1"
"246","NeedGoogleMapsAPIKey","40.340429","-79.9802646","1"
"247","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"248","NeedGoogleMapsAPIKey","40.3386443","-79.9802422","1"
"249","NeedGoogleMapsAPIKey","40.339161","-79.9801005","1"
"250","NeedGoogleMapsAPIKey","40.3364962","-79.9803009","1"
"251","NeedGoogleMapsAPIKey","40.3398791","-79.9791004","1"
"252","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"253","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"254","NeedGoogleMapsAPIKey","40.3399017","-79.9810718","1"
"255","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"256","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"257","NeedGoogleMapsAPIKey","40.3384872","-79.9786534","1"
"258","NeedGoogleMapsAPIKey","40.339161","-79.9801005","1"
"259","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"260","NeedGoogleMapsAPIKey","40.339161","-79.9801005","1"
"261","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"262","NeedGoogleMapsAPIKey","40.3393004","-79.9790846","1"
"263","NeedGoogleMapsAPIKey","40.3395423","-79.9785647","1"
"264","NeedGoogleMapsAPIKey","40.3399475","-79.9803792","1"
"265","NeedGoogleMapsAPIKey","40.3398791","-79.9791004","1"
"266","NeedGoogleMapsAPIKey","40.3402181","-79.9793634","1"
"267","NeedGoogleMapsAPIKey","40.3386604","-79.9811984","1"
"268","NeedGoogleMapsAPIKey","40.3396506","-79.9800626","1"
"269","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"270","NeedGoogleMapsAPIKey","40.3376498","-79.9813348","1"
"271","NeedGoogleMapsAPIKey","40.3396949","-79.9786948","1"
"272","NeedGoogleMapsAPIKey","40.3380504","-79.9813939","1"
"273","NeedGoogleMapsAPIKey","40.3399017","-79.9810718","1"
"274","NeedGoogleMapsAPIKey","40.3388747","-79.9797552","1"
"275","NeedGoogleMapsAPIKey","40.3395423","-79.9785647","1"
"276","NeedGoogleMapsAPIKey","40.3393004","-79.9790846","1"
"277","NeedGoogleMapsAPIKey","40.340429","-79.9802646","1"
"278","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"279","NeedGoogleMapsAPIKey","40.3404628","-79.9804753","1"
"280","NeedGoogleMapsAPIKey","40.3404618","-79.9805226","1"
"281","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"282","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"283","NeedGoogleMapsAPIKey","40.3377314","-79.9820978","1"
"284","NeedGoogleMapsAPIKey","40.3398791","-79.9791004","1"
"285","NeedGoogleMapsAPIKey","40.3370305","-79.9814503","1"
"286","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"287","NeedGoogleMapsAPIKey","40.3395423","-79.9785647","1"
"288","NeedGoogleMapsAPIKey","40.3402181","-79.9793634","1"
"289","NeedGoogleMapsAPIKey","40.340429","-79.9802646","1"
"290","NeedGoogleMapsAPIKey","40.3384872","-79.9786534","1"
"291","NeedGoogleMapsAPIKey","40.3370017","-79.9797463","1"
"292","NeedGoogleMapsAPIKey","40.3390058","-79.9802957","1"
"293","NeedGoogleMapsAPIKey","40.3374047","-79.9818229","1"
"294","NeedGoogleMapsAPIKey","40.3400545","-79.9812338","1"
"295","NeedGoogleMapsAPIKey","40.340429","-79.9802646","1"
"296","NeedGoogleMapsAPIKey","40.3391256","-79.9789135","1"
"297","NeedGoogleMapsAPIKey","40.338959","-79.9790241","1"
"298","NeedGoogleMapsAPIKey","40.3387507","-79.9799464","1"
"299","NeedGoogleMapsAPIKey","40.3397867","-79.9795859","1"
"300","NeedGoogleMapsAPIKey","40.3385873","-79.9783412","1"
"301","NeedGoogleMapsAPIKey","40.3378014","-79.981958","1"
"302","NeedGoogleMapsAPIKey","40.3379112","-79.9817593","1"
"303","NeedGoogleMapsAPIKey","40.3369071","-79.9817146","1"
"304","NeedGoogleMapsAPIKey","40.3364237","-79.9817062","1"
"305","NeedGoogleMapsAPIKey","40.3393181","-79.9806326","1"
"306","NeedGoogleMapsAPIKey","40.3388747","-79.9797552","1"
"307","NeedGoogleMapsAPIKey","40.339161","-79.9801005","1"
"308","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"309","NeedGoogleMapsAPIKey","40.3399017","-79.9810718","1"
"310","NeedGoogleMapsAPIKey","40.3387709","-79.9804099","1"
"311","NeedGoogleMapsAPIKey","40.3397867","-79.9795859","1"
"312","NeedGoogleMapsAPIKey","40.3382456","-79.9806149","1"
"313","NeedGoogleMapsAPIKey","40.3399017","-79.9810718","1"
"314","NeedGoogleMapsAPIKey","40.3384872","-79.9786534","1"
"315","NeedGoogleMapsAPIKey","40.3396697","-79.9794219","1"
"316","NeedGoogleMapsAPIKey","40.3392113","-79.9792536","1"
"317","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"318","NeedGoogleMapsAPIKey","40.3404606","-79.9800893","1"
"319","NeedGoogleMapsAPIKey","40.3388747","-79.9797552","1"
"320","NeedGoogleMapsAPIKey","40.3387709","-79.9804099","1"
"321","NeedGoogleMapsAPIKey","40.3386842","-79.9822395","1"
"322","NeedGoogleMapsAPIKey","40.3394299","-79.979617","1"
"323","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"324","NeedGoogleMapsAPIKey","40.3368038","-79.9786313","1"
"325","NeedGoogleMapsAPIKey","40.3384989","-79.9795863","1"
"326","NeedGoogleMapsAPIKey","40.3397867","-79.9795859","1"
"327","NeedGoogleMapsAPIKey","40.3396949","-79.9786948","1"
"328","NeedGoogleMapsAPIKey","40.3387709","-79.9804099","1"
"329","NeedGoogleMapsAPIKey","40.3400462","-79.9793904","1"
"330","NeedGoogleMapsAPIKey","40.3366559","-79.9802893","1"
"331","NeedGoogleMapsAPIKey","40.3387507","-79.9799464","1"
"332","NeedGoogleMapsAPIKey","40.3384989","-79.9795863","1"
"333","NeedGoogleMapsAPIKey","40.3388747","-79.9797552","1"
"334","NeedGoogleMapsAPIKey","40.3367163","-79.982008","1"
"335","NeedGoogleMapsAPIKey","40.3400462","-79.9793904","1"
"336","NeedGoogleMapsAPIKey","40.3393004","-79.9790846","1"
"337","NeedGoogleMapsAPIKey","40.3376459","-79.9822608","1"
"338","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"339","NeedGoogleMapsAPIKey","40.3402181","-79.9793634","1"
"340","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"341","NeedGoogleMapsAPIKey","40.3384933","-79.9781363","1"
"342","NeedGoogleMapsAPIKey","40.3397867","-79.9795859","1"
"343","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"344","NeedGoogleMapsAPIKey","40.3392113","-79.9792536","1"
"345","NeedGoogleMapsAPIKey","40.3397867","-79.9795859","1"
"346","NeedGoogleMapsAPIKey","40.3398791","-79.9791004","1"
"347","NeedGoogleMapsAPIKey","40.3383404","-79.9797544","1"
"348","NeedGoogleMapsAPIKey","40.3392113","-79.9792536","1"
"349","NeedGoogleMapsAPIKey","40.3395423","-79.9785647","1"
"350","NeedGoogleMapsAPIKey","40.3399017","-79.9810718","1"
"351","NeedGoogleMapsAPIKey","40.3386443","-79.9802422","1"
"352","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"353","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"354","NeedGoogleMapsAPIKey","40.3386443","-79.9802422","1"
"355","NeedGoogleMapsAPIKey","40.3396949","-79.9786948","1"
"356","NeedGoogleMapsAPIKey","40.3383404","-79.9797544","1"
"357","NeedGoogleMapsAPIKey","40.3383404","-79.9797544","1"
"358","NeedGoogleMapsAPIKey","40.3374824","-79.9803762","1"
"359","NeedGoogleMapsAPIKey","40.338959","-79.9790241","1"
"360","NeedGoogleMapsAPIKey","40.3396949","-79.9786948","1"
"361","NeedGoogleMapsAPIKey","40.3399475","-79.9803792","1"
"362","NeedGoogleMapsAPIKey","40.3391256","-79.9789135","1"
"363","NeedGoogleMapsAPIKey","40.3387507","-79.9799464","1"
"364","NeedGoogleMapsAPIKey","40.3384989","-79.9795863","1"
"365","NeedGoogleMapsAPIKey","40.3390058","-79.9802957","1"
"366","NeedGoogleMapsAPIKey","40.3387507","-79.9799464","1"
"367","NeedGoogleMapsAPIKey","40.3385873","-79.9783412","1"
"368","NeedGoogleMapsAPIKey","40.3392769","-79.9795204","1"
"369","NeedGoogleMapsAPIKey","40.3386443","-79.9802422","1"
"370","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"371","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"372","NeedGoogleMapsAPIKey","40.3398875","-79.9789175","1"
"373","NeedGoogleMapsAPIKey","40.3372346","-79.982146","1"
"374","NeedGoogleMapsAPIKey","40.3385558","-79.982607","1"
"375","NeedGoogleMapsAPIKey","40.3400673","-79.9804791","1"
"376","NeedGoogleMapsAPIKey","40.3385873","-79.9783412","1"
"377","NeedGoogleMapsAPIKey","40.336816","-79.9818656","1"
"378","NeedGoogleMapsAPIKey","40.3396465","-79.9808592","1"
"379","NeedGoogleMapsAPIKey","40.3381131","-79.9825504","1"
"380","NeedGoogleMapsAPIKey","40.3396949","-79.9786948","1"
"381","NeedGoogleMapsAPIKey","40.3402181","-79.9793634","1"
"382","NeedGoogleMapsAPIKey","40.3392945","-79.9784114","1"
"383","NeedGoogleMapsAPIKey","40.3374879","-79.9816549","1"
"384","NeedGoogleMapsAPIKey","40.3384989","-79.9795863","1"
"385","NeedGoogleMapsAPIKey","40.3392932","-79.9804322","1"
"386","NeedGoogleMapsAPIKey","40.3372127","-79.9810594","1"
"387","NeedGoogleMapsAPIKey","40.3384933","-79.9781363","1"
"388","NeedGoogleMapsAPIKey","40.3425184","-79.9818053","1"
"389","NeedGoogleMapsAPIKey","40.343619","-79.9814227","1"
"390","NeedGoogleMapsAPIKey","40.3434873","-79.9821113","1"
"391","NeedGoogleMapsAPIKey","40.3414688","-79.9830692","1"
"392","NeedGoogleMapsAPIKey","40.3404582","-79.9816118","1"
"393","NeedGoogleMapsAPIKey","40.3419539","-79.9804434","1"
"394","NeedGoogleMapsAPIKey","40.3424065","-79.9809012","1"
"395","NeedGoogleMapsAPIKey","40.3414688","-79.9830692","1"
"396","NeedGoogleMapsAPIKey","40.3417569","-79.9820399","1"
"397","NeedGoogleMapsAPIKey","40.340393","-79.9814554","1"
"398","NeedGoogleMapsAPIKey","40.3414688","-79.9830692","1"
"399","NeedGoogleMapsAPIKey","40.3429038","-79.9806251","1"
