"Fairfield Area School District","1","285","50","50"
"110","NeedGoogleMapsAPIKey","39.7533945","-77.3859705","1"
"111","NeedGoogleMapsAPIKey","39.746065","-77.3697921","1"
"112","NeedGoogleMapsAPIKey","39.750516","-77.3835897","1"
"113","NeedGoogleMapsAPIKey","39.7509442","-77.3847919","1"
"114","NeedGoogleMapsAPIKey","39.7535993","-77.4383627","1"
"115","NeedGoogleMapsAPIKey","39.7499801","-77.4416766","1"
"116","NeedGoogleMapsAPIKey","39.7551423","-77.4400908","1"
"117","NeedGoogleMapsAPIKey","39.7531149","-77.4421652","1"
"118","NeedGoogleMapsAPIKey","39.755518","-77.4396257","1"
"119","NeedGoogleMapsAPIKey","39.7512921","-77.4407071","1"
"120","NeedGoogleMapsAPIKey","39.7541568","-77.4412877","1"
"121","NeedGoogleMapsAPIKey","39.7530886","-77.4390015","1"
"122","NeedGoogleMapsAPIKey","39.7548792","-77.440854","1"
"123","NeedGoogleMapsAPIKey","39.7514141","-77.4382482","1"
"124","NeedGoogleMapsAPIKey","39.7538338","-77.4362004","1"
"125","NeedGoogleMapsAPIKey","39.756832","-77.3961576","1"
"126","NeedGoogleMapsAPIKey","39.7547499","-77.4030473","1"
"127","NeedGoogleMapsAPIKey","39.7560043","-77.4024535","1"
"128","NeedGoogleMapsAPIKey","39.7544831","-77.3906572","1"
"129","NeedGoogleMapsAPIKey","39.7573578","-77.397473","1"
"130","NeedGoogleMapsAPIKey","39.7541469","-77.391479","1"
"131","NeedGoogleMapsAPIKey","39.7539065","-77.3995549","1"
"132","NeedGoogleMapsAPIKey","39.7520855","-77.3996801","1"
"133","NeedGoogleMapsAPIKey","39.7549655","-77.3969169","1"
"134","NeedGoogleMapsAPIKey","39.7517577","-77.3990564","1"
"135","NeedGoogleMapsAPIKey","39.7393122","-77.3336449","1"
"136","NeedGoogleMapsAPIKey","39.7616833","-77.3373453","1"
"137","NeedGoogleMapsAPIKey","39.7618996","-77.34022","1"
"138","NeedGoogleMapsAPIKey","39.7593357","-77.333718","1"
"139","NeedGoogleMapsAPIKey","39.7636138","-77.3397117","1"
"140","NeedGoogleMapsAPIKey","39.7455672","-77.3446784","1"
"141","NeedGoogleMapsAPIKey","39.7455882","-77.3294954","1"
"142","NeedGoogleMapsAPIKey","39.7601459","-77.3387936","1"
"143","NeedGoogleMapsAPIKey","39.7493181","-77.336978","1"
"144","NeedGoogleMapsAPIKey","39.7588784","-77.3319113","1"
"145","NeedGoogleMapsAPIKey","39.7607025","-77.3926582","1"
"146","NeedGoogleMapsAPIKey","39.7593861","-77.3837499","1"
"147","NeedGoogleMapsAPIKey","39.7620891","-77.3937707","1"
"148","NeedGoogleMapsAPIKey","39.7587086","-77.3840558","1"
"149","NeedGoogleMapsAPIKey","39.7618018","-77.3952394","1"
"150","NeedGoogleMapsAPIKey","39.7567472","-77.3846448","1"
"151","NeedGoogleMapsAPIKey","39.7575995","-77.3834139","1"
"152","NeedGoogleMapsAPIKey","39.7559459","-77.3898924","1"
"153","NeedGoogleMapsAPIKey","39.7603137","-77.3844785","1"
"154","NeedGoogleMapsAPIKey","39.7715628","-77.3688971","1"
"155","NeedGoogleMapsAPIKey","39.7751189","-77.3688758","1"
"156","NeedGoogleMapsAPIKey","39.7688616","-77.3676837","1"
"157","NeedGoogleMapsAPIKey","39.769576","-77.3690162","1"
"158","NeedGoogleMapsAPIKey","39.770719","-77.353502","1"
"159","NeedGoogleMapsAPIKey","39.7743705","-77.3640536","1"
"160","NeedGoogleMapsAPIKey","39.7718912","-77.3545133","1"
"161","NeedGoogleMapsAPIKey","39.7689541","-77.3713328","1"
"162","NeedGoogleMapsAPIKey","39.7755438","-77.3667235","1"
"163","NeedGoogleMapsAPIKey","39.7723944","-77.368588","1"
"164","NeedGoogleMapsAPIKey","39.7673649","-77.3665639","1"
"165","NeedGoogleMapsAPIKey","39.7741044","-77.3689252","1"
"166","NeedGoogleMapsAPIKey","39.7705221","-77.3610739","1"
"167","NeedGoogleMapsAPIKey","39.7707035","-77.3670733","1"
"168","NeedGoogleMapsAPIKey","39.7751569","-77.3643385","1"
"169","NeedGoogleMapsAPIKey","39.7694278","-77.368683","1"
"170","NeedGoogleMapsAPIKey","39.7698744","-77.3664848","1"
"171","NeedGoogleMapsAPIKey","39.7695462","-77.3709894","1"
"172","NeedGoogleMapsAPIKey","39.7757849","-77.367283","1"
"173","NeedGoogleMapsAPIKey","39.771029","-77.3608362","1"
"174","NeedGoogleMapsAPIKey","39.7744283","-77.3857604","1"
"175","NeedGoogleMapsAPIKey","39.7733709","-77.3848275","1"
"176","NeedGoogleMapsAPIKey","39.7709025","-77.386578","1"
"177","NeedGoogleMapsAPIKey","39.7708061","-77.3842002","1"
"178","NeedGoogleMapsAPIKey","39.7710743","-77.3793036","1"
"179","NeedGoogleMapsAPIKey","39.7717552","-77.3841802","1"
"180","NeedGoogleMapsAPIKey","39.775136","-77.3830148","1"
"181","NeedGoogleMapsAPIKey","39.7703627","-77.3845924","1"
"182","NeedGoogleMapsAPIKey","39.7740347","-77.3821677","1"
"183","NeedGoogleMapsAPIKey","39.7723106","-77.3831651","1"
"184","NeedGoogleMapsAPIKey","39.7749008","-77.3927881","1"
"185","NeedGoogleMapsAPIKey","39.7743464","-77.3813598","1"
"186","NeedGoogleMapsAPIKey","39.7704333","-77.3791538","1"
"187","NeedGoogleMapsAPIKey","39.771836","-77.3833674","1"
"188","NeedGoogleMapsAPIKey","39.7755789","-77.3948063","1"
"189","NeedGoogleMapsAPIKey","39.7753797","-77.3881214","1"
"190","NeedGoogleMapsAPIKey","39.7757566","-77.3908642","1"
"191","NeedGoogleMapsAPIKey","39.7726408","-77.3806794","1"
"192","NeedGoogleMapsAPIKey","39.7738797","-77.3879193","1"
"193","NeedGoogleMapsAPIKey","39.7745574","-77.3904563","1"
"194","NeedGoogleMapsAPIKey","39.7782073","-77.3977643","1"
"195","NeedGoogleMapsAPIKey","39.776949","-77.3829725","1"
"196","NeedGoogleMapsAPIKey","39.7723024","-77.3732251","1"
"197","NeedGoogleMapsAPIKey","39.7750303","-77.3719922","1"
"198","NeedGoogleMapsAPIKey","39.7741362","-77.3800777","1"
"199","NeedGoogleMapsAPIKey","39.7793365","-77.3705368","1"
"200","NeedGoogleMapsAPIKey","39.7772399","-77.3792139","1"
"201","NeedGoogleMapsAPIKey","39.7726414","-77.3719036","1"
"202","NeedGoogleMapsAPIKey","39.7732111","-77.379107","1"
"203","NeedGoogleMapsAPIKey","39.7730365","-77.3784319","1"
"204","NeedGoogleMapsAPIKey","39.7812242","-77.371663","1"
"205","NeedGoogleMapsAPIKey","39.7705116","-77.376211","1"
"206","NeedGoogleMapsAPIKey","39.7714119","-77.3765026","1"
"207","NeedGoogleMapsAPIKey","39.7730399","-77.3772534","1"
"208","NeedGoogleMapsAPIKey","39.7739003","-77.3712094","1"
"209","NeedGoogleMapsAPIKey","39.7758779","-77.3802695","1"
"210","NeedGoogleMapsAPIKey","39.7729975","-77.374141","1"
"211","NeedGoogleMapsAPIKey","39.7724055","-77.3778161","1"
"212","NeedGoogleMapsAPIKey","39.7735468","-77.3709215","1"
"213","NeedGoogleMapsAPIKey","39.7821412","-77.3321728","1"
"214","NeedGoogleMapsAPIKey","39.7790015","-77.3302415","1"
"215","NeedGoogleMapsAPIKey","39.785681","-77.328866","1"
"216","NeedGoogleMapsAPIKey","39.7808257","-77.332651","1"
"217","NeedGoogleMapsAPIKey","39.7845197","-77.3281922","1"
"218","NeedGoogleMapsAPIKey","39.7841202","-77.3244289","1"
"219","NeedGoogleMapsAPIKey","39.782659","-77.3302669","1"
"220","NeedGoogleMapsAPIKey","39.781152","-77.3262731","1"
"221","NeedGoogleMapsAPIKey","39.7848476","-77.3248051","1"
"222","NeedGoogleMapsAPIKey","39.7843146","-77.3227047","1"
"223","NeedGoogleMapsAPIKey","39.7837626","-77.3237498","1"
"224","NeedGoogleMapsAPIKey","39.7769276","-77.32596","1"
"225","NeedGoogleMapsAPIKey","39.7748896","-77.3302041","1"
"226","NeedGoogleMapsAPIKey","39.7819957","-77.3261847","1"
"227","NeedGoogleMapsAPIKey","39.7847451","-77.3273072","1"
"228","NeedGoogleMapsAPIKey","39.7832751","-77.3298219","1"
"229","NeedGoogleMapsAPIKey","39.7832958","-77.3269781","1"
"230","NeedGoogleMapsAPIKey","39.782218","-77.3236998","1"
"231","NeedGoogleMapsAPIKey","39.7874944","-77.3674067","1"
"232","NeedGoogleMapsAPIKey","39.7849343","-77.3705043","1"
"233","NeedGoogleMapsAPIKey","39.7844673","-77.3721382","1"
"234","NeedGoogleMapsAPIKey","39.7874259","-77.3666311","1"
"235","NeedGoogleMapsAPIKey","39.7866002","-77.3623934","1"
"236","NeedGoogleMapsAPIKey","39.7892445","-77.3666877","1"
"237","NeedGoogleMapsAPIKey","39.7819635","-77.3720278","1"
"238","NeedGoogleMapsAPIKey","39.7831995","-77.3756188","1"
"239","NeedGoogleMapsAPIKey","39.7870067","-77.3665895","1"
"240","NeedGoogleMapsAPIKey","39.7825496","-77.3723018","1"
"241","NeedGoogleMapsAPIKey","39.7876265","-77.365645","1"
"242","NeedGoogleMapsAPIKey","39.787087","-77.3672672","1"
"243","NeedGoogleMapsAPIKey","39.7848581","-77.3722357","1"
"244","NeedGoogleMapsAPIKey","39.7869501","-77.3722929","1"
"245","NeedGoogleMapsAPIKey","39.7865908","-77.3625766","1"
"246","NeedGoogleMapsAPIKey","39.7851499","-77.3718839","1"
"247","NeedGoogleMapsAPIKey","39.78892","-77.3670354","1"
"248","NeedGoogleMapsAPIKey","39.7883663","-77.3648036","1"
"249","NeedGoogleMapsAPIKey","39.7871806","-77.3686599","1"
"250","NeedGoogleMapsAPIKey","39.786427","-77.3656903","1"
"251","NeedGoogleMapsAPIKey","39.7859495","-77.3712188","1"
"252","NeedGoogleMapsAPIKey","39.7875179","-77.3662147","1"
"253","NeedGoogleMapsAPIKey","39.7842872","-77.3738372","1"
"254","NeedGoogleMapsAPIKey","39.7881962","-77.3678712","1"
"255","NeedGoogleMapsAPIKey","39.7829608","-77.3763492","1"
"256","NeedGoogleMapsAPIKey","39.7858663","-77.3708236","1"
"257","NeedGoogleMapsAPIKey","39.7864279","-77.3605718","1"
"258","NeedGoogleMapsAPIKey","39.7838335","-77.3727633","1"
"259","NeedGoogleMapsAPIKey","39.7846381","-77.3749133","1"
"260","NeedGoogleMapsAPIKey","39.7965602","-77.3645942","1"
"261","NeedGoogleMapsAPIKey","39.7928641","-77.3639429","1"
"262","NeedGoogleMapsAPIKey","39.793316","-77.3646528","1"
"263","NeedGoogleMapsAPIKey","39.7946554","-77.3592926","1"
"264","NeedGoogleMapsAPIKey","39.790943","-77.3511057","1"
"265","NeedGoogleMapsAPIKey","39.7997574","-77.3660934","1"
"266","NeedGoogleMapsAPIKey","39.7975439","-77.3647695","1"
"267","NeedGoogleMapsAPIKey","39.7983764","-77.3657679","1"
"268","NeedGoogleMapsAPIKey","39.7942205","-77.3642828","1"
"269","NeedGoogleMapsAPIKey","39.8445268","-77.3622618","1"
"270","NeedGoogleMapsAPIKey","39.8428913","-77.366346","1"
"271","NeedGoogleMapsAPIKey","39.8458221","-77.3600827","1"
"272","NeedGoogleMapsAPIKey","39.8424799","-77.363944","1"
"273","NeedGoogleMapsAPIKey","39.8480954","-77.3585656","1"
"274","NeedGoogleMapsAPIKey","39.84412","-77.362938","1"
"275","NeedGoogleMapsAPIKey","39.8391815","-77.3633664","1"
"276","NeedGoogleMapsAPIKey","39.8453528","-77.3611695","1"
"277","NeedGoogleMapsAPIKey","39.8451179","-77.3575243","1"
"278","NeedGoogleMapsAPIKey","39.836691","-77.4586438","1"
"279","NeedGoogleMapsAPIKey","39.8369212","-77.4592931","1"
"280","NeedGoogleMapsAPIKey","39.8426545","-77.4589741","1"
"281","NeedGoogleMapsAPIKey","39.8384229","-77.4637625","1"
"282","NeedGoogleMapsAPIKey","39.8451085","-77.4646438","1"
"283","NeedGoogleMapsAPIKey","39.8581438","-77.4587772","1"
"284","NeedGoogleMapsAPIKey","39.8476175","-77.4547005","1"
"285","NeedGoogleMapsAPIKey","39.8525893","-77.4609926","1"
"1","Fairfield Area HS","39.782173","-77.37657"
