"Allegheny Valley School District","1","351","50","50"
"133","NeedGoogleMapsAPIKey","40.5400455","-79.7974069","1"
"134","NeedGoogleMapsAPIKey","40.5405235","-79.798292","1"
"135","NeedGoogleMapsAPIKey","40.5399255","-79.7973899","1"
"136","NeedGoogleMapsAPIKey","40.5402115","-79.7961717","1"
"137","NeedGoogleMapsAPIKey","40.5419083","-79.7826962","1"
"138","NeedGoogleMapsAPIKey","40.5409251","-79.7826446","1"
"139","NeedGoogleMapsAPIKey","40.5414117","-79.7815947","1"
"140","NeedGoogleMapsAPIKey","40.5418894","-79.7831952","1"
"141","NeedGoogleMapsAPIKey","40.5433465","-79.7824589","1"
"142","NeedGoogleMapsAPIKey","40.5409127","-79.7823189","1"
"143","NeedGoogleMapsAPIKey","40.5429091","-79.7824274","1"
"144","NeedGoogleMapsAPIKey","40.5429585","-79.7812131","1"
"145","NeedGoogleMapsAPIKey","40.5418997","-79.7839053","1"
"146","NeedGoogleMapsAPIKey","40.5438102","-79.781323","1"
"147","NeedGoogleMapsAPIKey","40.5425218","-79.7831464","1"
"148","NeedGoogleMapsAPIKey","40.5413592","-79.7844241","1"
"149","NeedGoogleMapsAPIKey","40.5433843","-79.7812767","1"
"150","NeedGoogleMapsAPIKey","40.5419091","-79.7830076","1"
"151","NeedGoogleMapsAPIKey","40.5414117","-79.7815947","1"
"152","NeedGoogleMapsAPIKey","40.5414117","-79.7815947","1"
"153","NeedGoogleMapsAPIKey","40.542334","-79.7823776","1"
"154","NeedGoogleMapsAPIKey","40.5427849","-79.782406","1"
"155","NeedGoogleMapsAPIKey","40.5413482","-79.7842888","1"
"156","NeedGoogleMapsAPIKey","40.5414117","-79.7815947","1"
"157","NeedGoogleMapsAPIKey","40.541622","-79.7823601","1"
"158","NeedGoogleMapsAPIKey","40.5428372","-79.7824111","1"
"159","NeedGoogleMapsAPIKey","40.5422396","-79.7830114","1"
"160","NeedGoogleMapsAPIKey","40.5432497","-79.7824671","1"
"161","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"162","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"163","NeedGoogleMapsAPIKey","40.5410219","-79.7848135","1"
"164","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"165","NeedGoogleMapsAPIKey","40.5400718","-79.7874845","1"
"166","NeedGoogleMapsAPIKey","40.5401417","-79.785932","1"
"167","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"168","NeedGoogleMapsAPIKey","40.5393382","-79.7874488","1"
"169","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"170","NeedGoogleMapsAPIKey","40.5404086","-79.7878477","1"
"171","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"172","NeedGoogleMapsAPIKey","40.5405748","-79.7843166","1"
"173","NeedGoogleMapsAPIKey","40.539765","-79.7854009","1"
"174","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"175","NeedGoogleMapsAPIKey","40.5400661","-79.7876717","1"
"176","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"177","NeedGoogleMapsAPIKey","40.5405013","-79.785168","1"
"178","NeedGoogleMapsAPIKey","40.5389951","-79.7858858","1"
"179","NeedGoogleMapsAPIKey","40.5396873","-79.7874255","1"
"180","NeedGoogleMapsAPIKey","40.5397118","-79.7858003","1"
"181","NeedGoogleMapsAPIKey","40.5402383","-79.7838745","1"
"182","NeedGoogleMapsAPIKey","40.5408728","-79.7842821","1"
"183","NeedGoogleMapsAPIKey","40.5385359","-79.7867832","1"
"184","NeedGoogleMapsAPIKey","40.5404195","-79.7874981","1"
"185","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"186","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"187","NeedGoogleMapsAPIKey","40.5400974","-79.7872637","1"
"188","NeedGoogleMapsAPIKey","40.5385414","-79.78696","1"
"189","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"190","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"191","NeedGoogleMapsAPIKey","40.5400795","-79.786831","1"
"192","NeedGoogleMapsAPIKey","40.5400973","-79.7872205","1"
"193","NeedGoogleMapsAPIKey","40.5400705","-79.787422","1"
"194","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"195","NeedGoogleMapsAPIKey","40.5389926","-79.7862449","1"
"196","NeedGoogleMapsAPIKey","40.5393463","-79.7866004","1"
"197","NeedGoogleMapsAPIKey","40.540418","-79.7872351","1"
"198","NeedGoogleMapsAPIKey","40.5394023","-79.7853666","1"
"199","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"200","NeedGoogleMapsAPIKey","40.5399421","-79.784242","1"
"201","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"202","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"203","NeedGoogleMapsAPIKey","40.5396796","-79.7877697","1"
"204","NeedGoogleMapsAPIKey","40.540599","-79.7866084","1"
"205","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"206","NeedGoogleMapsAPIKey","40.5397088","-79.7862551","1"
"207","NeedGoogleMapsAPIKey","40.5385921","-79.7856293","1"
"208","NeedGoogleMapsAPIKey","40.5385679","-79.7863371","1"
"209","NeedGoogleMapsAPIKey","40.5390207","-79.7851636","1"
"210","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"211","NeedGoogleMapsAPIKey","40.5408824","-79.7860648","1"
"212","NeedGoogleMapsAPIKey","40.554876","-79.8660001","1"
"213","NeedGoogleMapsAPIKey","40.5536489","-79.8668239","1"
"214","NeedGoogleMapsAPIKey","40.554876","-79.8660001","1"
"215","NeedGoogleMapsAPIKey","40.5557147","-79.8672449","1"
"216","NeedGoogleMapsAPIKey","40.55304","-79.8664894","1"
"217","NeedGoogleMapsAPIKey","40.5539772","-79.8682363","1"
"218","NeedGoogleMapsAPIKey","40.5558024","-79.8676742","1"
"219","NeedGoogleMapsAPIKey","40.552941","-79.8663305","1"
"220","NeedGoogleMapsAPIKey","40.5540227","-79.8664415","1"
"221","NeedGoogleMapsAPIKey","40.5531503","-79.8666722","1"
"222","NeedGoogleMapsAPIKey","40.5551839","-79.8660644","1"
"223","NeedGoogleMapsAPIKey","40.554638","-79.8667704","1"
"224","NeedGoogleMapsAPIKey","40.5542855","-79.8660484","1"
"225","NeedGoogleMapsAPIKey","40.5557573","-79.8674705","1"
"226","NeedGoogleMapsAPIKey","40.5545014","-79.8678748","1"
"227","NeedGoogleMapsAPIKey","40.5537488","-79.8669901","1"
"228","NeedGoogleMapsAPIKey","40.5527166","-79.86725","1"
"229","NeedGoogleMapsAPIKey","40.554876","-79.8660001","1"
"230","NeedGoogleMapsAPIKey","40.5549833","-79.8684289","1"
"231","NeedGoogleMapsAPIKey","40.5531514","-79.8659472","1"
"232","NeedGoogleMapsAPIKey","40.5538405","-79.8671694","1"
"233","NeedGoogleMapsAPIKey","40.5524872","-79.8675721","1"
"234","NeedGoogleMapsAPIKey","40.5546552","-79.8654997","1"
"235","NeedGoogleMapsAPIKey","40.5551839","-79.8660644","1"
"236","NeedGoogleMapsAPIKey","40.554876","-79.8660001","1"
"237","NeedGoogleMapsAPIKey","40.555168","-79.8070965","1"
"238","NeedGoogleMapsAPIKey","40.5555177","-79.8049667","1"
"239","NeedGoogleMapsAPIKey","40.55424","-79.8082355","1"
"240","NeedGoogleMapsAPIKey","40.5555909","-79.8074467","1"
"241","NeedGoogleMapsAPIKey","40.5552458","-79.806007","1"
"242","NeedGoogleMapsAPIKey","40.5535343","-79.8067276","1"
"243","NeedGoogleMapsAPIKey","40.5542442","-79.8050661","1"
"244","NeedGoogleMapsAPIKey","40.556831","-79.8060036","1"
"245","NeedGoogleMapsAPIKey","40.5554109","-79.8051226","1"
"246","NeedGoogleMapsAPIKey","40.5539489","-79.8050265","1"
"247","NeedGoogleMapsAPIKey","40.5532961","-79.8057315","1"
"248","NeedGoogleMapsAPIKey","40.5554186","-79.8072222","1"
"249","NeedGoogleMapsAPIKey","40.5565834","-79.8067999","1"
"250","NeedGoogleMapsAPIKey","40.5558292","-79.8061663","1"
"251","NeedGoogleMapsAPIKey","40.5563576","-79.806159","1"
"252","NeedGoogleMapsAPIKey","40.555077","-79.807071","1"
"253","NeedGoogleMapsAPIKey","40.5537723","-79.8068083","1"
"254","NeedGoogleMapsAPIKey","40.5554006","-79.8072321","1"
"255","NeedGoogleMapsAPIKey","40.5563011","-79.8049363","1"
"256","NeedGoogleMapsAPIKey","40.5558711","-79.8079484","1"
"257","NeedGoogleMapsAPIKey","40.5561073","-79.807204","1"
"258","NeedGoogleMapsAPIKey","40.5566922","-79.8055926","1"
"259","NeedGoogleMapsAPIKey","40.5538622","-79.8065235","1"
"260","NeedGoogleMapsAPIKey","40.5565114","-79.8064942","1"
"261","NeedGoogleMapsAPIKey","40.5552577","-79.8065758","1"
"262","NeedGoogleMapsAPIKey","40.5496833","-79.8077097","1"
"263","NeedGoogleMapsAPIKey","40.5498978","-79.8044918","1"
"264","NeedGoogleMapsAPIKey","40.5518026","-79.8053991","1"
"265","NeedGoogleMapsAPIKey","40.5491223","-79.8057978","1"
"266","NeedGoogleMapsAPIKey","40.5497733","-79.8067859","1"
"267","NeedGoogleMapsAPIKey","40.549496","-79.8048651","1"
"268","NeedGoogleMapsAPIKey","40.5497418","-79.8049409","1"
"269","NeedGoogleMapsAPIKey","40.5513144","-79.8064039","1"
"270","NeedGoogleMapsAPIKey","40.5494377","-79.8052923","1"
"271","NeedGoogleMapsAPIKey","40.5513932","-79.8053362","1"
"272","NeedGoogleMapsAPIKey","40.5493293","-79.8073584","1"
"273","NeedGoogleMapsAPIKey","40.5505633","-79.8054213","1"
"274","NeedGoogleMapsAPIKey","40.5511902","-79.8076438","1"
"275","NeedGoogleMapsAPIKey","40.5501244","-79.8076742","1"
"276","NeedGoogleMapsAPIKey","40.5492453","-79.8043729","1"
"277","NeedGoogleMapsAPIKey","40.5499305","-79.8076748","1"
"278","NeedGoogleMapsAPIKey","40.5497678","-79.8070179","1"
"279","NeedGoogleMapsAPIKey","40.5501857","-79.8050542","1"
"280","NeedGoogleMapsAPIKey","40.5513553","-79.8057983","1"
"281","NeedGoogleMapsAPIKey","40.5516652","-79.8053722","1"
"282","NeedGoogleMapsAPIKey","40.5490957","-79.8072138","1"
"283","NeedGoogleMapsAPIKey","40.5513674","-79.80711","1"
"284","NeedGoogleMapsAPIKey","40.5493714","-79.8069278","1"
"285","NeedGoogleMapsAPIKey","40.5494075","-79.8076902","1"
"286","NeedGoogleMapsAPIKey","40.5483439","-79.804975","1"
"287","NeedGoogleMapsAPIKey","40.5501454","-79.8071367","1"
"288","NeedGoogleMapsAPIKey","40.551254","-79.8052761","1"
"289","NeedGoogleMapsAPIKey","40.5507917","-79.8064142","1"
"290","NeedGoogleMapsAPIKey","40.55236","-79.8055496","1"
"291","NeedGoogleMapsAPIKey","40.5488092","-79.804239","1"
"292","NeedGoogleMapsAPIKey","40.5459494","-79.7782176","1"
"293","NeedGoogleMapsAPIKey","40.5459736","-79.7791092","1"
"294","NeedGoogleMapsAPIKey","40.5429697","-79.778143","1"
"295","NeedGoogleMapsAPIKey","40.5429536","-79.7786072","1"
"296","NeedGoogleMapsAPIKey","40.5435409","-79.7790031","1"
"297","NeedGoogleMapsAPIKey","40.545253","-79.7783331","1"
"298","NeedGoogleMapsAPIKey","40.5434732","-79.7788046","1"
"299","NeedGoogleMapsAPIKey","40.5441788","-79.7770234","1"
"300","NeedGoogleMapsAPIKey","40.5435163","-79.7778176","1"
"301","NeedGoogleMapsAPIKey","40.5457903","-79.7804505","1"
"302","NeedGoogleMapsAPIKey","40.5434982","-79.7783648","1"
"303","NeedGoogleMapsAPIKey","40.5459766","-79.778673","1"
"304","NeedGoogleMapsAPIKey","40.5454986","-79.7804057","1"
"305","NeedGoogleMapsAPIKey","40.5452897","-79.778179","1"
"306","NeedGoogleMapsAPIKey","40.5441195","-79.7782979","1"
"307","NeedGoogleMapsAPIKey","40.5444627","-79.7770089","1"
"308","NeedGoogleMapsAPIKey","40.5461526","-79.7791117","1"
"309","NeedGoogleMapsAPIKey","40.5446731","-79.7770462","1"
"310","NeedGoogleMapsAPIKey","40.544805","-79.7763382","1"
"311","NeedGoogleMapsAPIKey","40.5441599","-79.7765952","1"
"312","NeedGoogleMapsAPIKey","40.5434875","-79.7797422","1"
"313","NeedGoogleMapsAPIKey","40.543221","-79.7787185","1"
"314","NeedGoogleMapsAPIKey","40.5446499","-79.7790383","1"
"315","NeedGoogleMapsAPIKey","40.5430965","-79.778194","1"
"316","NeedGoogleMapsAPIKey","40.5407889","-79.7744208","1"
"317","NeedGoogleMapsAPIKey","40.5429878","-79.7768929","1"
"318","NeedGoogleMapsAPIKey","40.5411436","-79.773951","1"
"319","NeedGoogleMapsAPIKey","40.5425946","-79.7761432","1"
"320","NeedGoogleMapsAPIKey","40.5420743","-79.7737061","1"
"321","NeedGoogleMapsAPIKey","40.5426493","-79.7729058","1"
"322","NeedGoogleMapsAPIKey","40.5413056","-79.7763549","1"
"323","NeedGoogleMapsAPIKey","40.5426493","-79.7729058","1"
"324","NeedGoogleMapsAPIKey","40.5433613","-79.7754101","1"
"325","NeedGoogleMapsAPIKey","40.5415665","-79.776366","1"
"326","NeedGoogleMapsAPIKey","40.5436425","-79.776146","1"
"327","NeedGoogleMapsAPIKey","40.5422923","-79.7744613","1"
"328","NeedGoogleMapsAPIKey","40.5441945","-79.7756072","1"
"329","NeedGoogleMapsAPIKey","40.5430452","-79.7756842","1"
"330","NeedGoogleMapsAPIKey","40.5418318","-79.7748499","1"
"331","NeedGoogleMapsAPIKey","40.5442135","-79.7749473","1"
"332","NeedGoogleMapsAPIKey","40.5445423","-79.7759121","1"
"333","NeedGoogleMapsAPIKey","40.5430838","-79.7769465","1"
"334","NeedGoogleMapsAPIKey","40.5428635","-79.7731191","1"
"335","NeedGoogleMapsAPIKey","40.5434653","-79.7767014","1"
"336","NeedGoogleMapsAPIKey","40.5446838","-79.7754348","1"
"337","NeedGoogleMapsAPIKey","40.5414183","-79.7753924","1"
"338","NeedGoogleMapsAPIKey","40.5426895","-79.7754245","1"
"339","NeedGoogleMapsAPIKey","40.544455","-79.7763507","1"
"340","NeedGoogleMapsAPIKey","40.5420743","-79.7737061","1"
"341","NeedGoogleMapsAPIKey","40.5428808","-79.7763228","1"
"342","NeedGoogleMapsAPIKey","40.542402","-79.7739193","1"
"343","NeedGoogleMapsAPIKey","40.5434977","-79.7759667","1"
"344","NeedGoogleMapsAPIKey","40.5435267","-79.773098","1"
"345","NeedGoogleMapsAPIKey","40.5419234","-79.7763089","1"
"346","NeedGoogleMapsAPIKey","40.5414833","-79.7750049","1"
"347","NeedGoogleMapsAPIKey","40.5420864","-79.775872","1"
"348","NeedGoogleMapsAPIKey","40.5418867","-79.7739614","1"
"349","NeedGoogleMapsAPIKey","40.5422963","-79.7764445","1"
"350","NeedGoogleMapsAPIKey","40.5420482","-79.7733627","1"
"351","NeedGoogleMapsAPIKey","40.5426393","-79.7735712","1"
"1","Springdale JSHS","40.54617","-79.77789"
